analysis_id,318xl3tnll204w3
mouse_strain,C59BL
pvalue,0.3649763
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
parameter_name,cDCs CD11b Type
mouse_life_stage,Early adult
