parameter_name,Lean mass
mouse_life_stage,Early adult
analysis_id,slhk7gx522159h1
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
pvalue,0.2158756
