analysis_id,28179y47nhcb44w
pvalue,0.6463157
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
gene_symbol,Ntmt2
gene_accession_id,MGI:2685053
parameter_name,Blood Vessel Morphology
mouse_life_stage,Early adult
