gene_symbol,Bmp7
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
pvalue,0.6963528
mouse_life_stage,Early adult
gene_accession_id,MGI:103302
analysis_id,bu9hc60j4n9zhr0
parameter_name,Prepulse inhibition - PP3
