gene_symbol,Trpa1
parameter_id,IMPC_CSD_028_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,171xs4qnuecmtcc
parameter_name,Snout size
pvalue,0.6518418
gene_accession_id,MGI:3522699
