parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_life_stage,E15.5
parameter_id,IMPC_HEM_006_001
mouse_strain,C54BL
analysis_id,452w197zf11whz1
pvalue,0.152986
