analysis_id,fpd2ozm34xe657e
gene_accession_id,MGI:2444113
mouse_strain,C57BL
parameter_id,JAXLA_CBC_015_001
gene_symbol,Nemp2
pvalue,0.7445009
parameter_name,Total cholesterol
mouse_life_stage,Early adult
