analysis_id,7pw8j424l9fyiv4
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Arnt
parameter_id,MGP_MLN_001_001
mouse_life_stage,Early adult
pvalue,0.2569011
gene_accession_id,MGI:88071
