parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
gene_symbol,Exd1
pvalue,0.4361221
mouse_strain,C57BL
gene_accession_id,MGI:3045306
analysis_id,83b1ql23fg4o550
mouse_life_stage,Early adult
