parameter_id,IMPC_GEL_027_001
pvalue,0.8220572
parameter_name,Neural tube closure
mouse_strain,C57BL
gene_symbol,Sema6c
analysis_id,u4ns62p0ru7y1nb
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
