parameter_name,110dB startle magnitude
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
mouse_strain,C57BL
pvalue,0.6257394
parameter_id,ESLIM_011_001_006
analysis_id,d598d50466547d9
mouse_life_stage,Early adult
