parameter_name,Hindlimb digit - size
mouse_life_stage,Early adult
gene_symbol,Pum1
gene_accession_id,MGI:1931749
mouse_strain,C57BL
pvalue,0.6309274
analysis_id,ox03po1k8zy5k89
parameter_id,IMPC_CSD_047_001
