parameter_name,HR
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
analysis_id,h013253415900rb
gene_symbol,Trdmt1
mouse_strain,C57BL
parameter_id,JAXLA_ECG_002_001
pvalue,0.7197633
