gene_symbol,Ola1
pvalue,1.236486
gene_accession_id,MGI:1914309
mouse_strain,C57BL
analysis_id,c26da01at321g90
parameter_name,CD11b-low cDC - % of cDC
parameter_id,MGP_IMM_067_001
mouse_life_stage,E18.5
