analysis_id,8x3pzv0o6t2ss9p
gene_accession_id,MGI:95457
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
pvalue,0.9167604
parameter_name,Eosinophils
gene_symbol,Mecom
mouse_life_stage,E15.5
