parameter_name,Periphery resting time
analysis_id,4zv09h4e5pv4799
pvalue,0.5652681
gene_symbol,Zfp683
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
parameter_id,HRWLLA_OFD_011_001
