analysis_id,790629fdkrxoh8v
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
parameter_name,Breath rate during sleep standard deviation
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1270012
parameter_id,JAX_SLW_014_001
