gene_symbol,Zcchc2
pvalue,1.296796
mouse_life_stage,Early adult
analysis_id,48dt867g3d36xro
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:2444114
mouse_strain,C57BL
parameter_name,Startle response
