analysis_id,922zxu6r65vyp62
gene_accession_id,MGI:2140475
parameter_name,HRV
gene_symbol,AU040320
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ECG_010_001
pvalue,0.7420803
