analysis_id,e262u7bifg32hk8
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
pvalue,0.2510538
gene_symbol,Bmp7
mouse_strain,C57BL
gene_accession_id,MGI:103302
parameter_id,IMPC_DXA_007_001
