parameter_name,Upper teeth appearance
gene_symbol,Mms22l
mouse_life_stage,Early adult
analysis_id,q3bnx8xd996zw39
mouse_strain,129SV
gene_accession_id,MGI:2684980
parameter_id,IMPC_CSD_069_001
pvalue,0.2472886
