parameter_name,B2B Cells
analysis_id,r9pi9w931rnr1l6
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
pvalue,0.4627139
mouse_strain,C57BL
gene_symbol,Rab13
