parameter_name,Hindlimbs - shape
pvalue,0.6049826
gene_accession_id,MGI:2446274
parameter_id,JAXLA_CSD_021_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Frmpd1
analysis_id,m99g82q05h8q307
