gene_symbol,Arnt
gene_accession_id,MGI:88071
mouse_strain,C57BL
analysis_id,7036719553q7u85
mouse_life_stage,Early adult
pvalue,0.5520299
parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
