analysis_id,2t882n7y2j0s656
pvalue,0.8352094
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:1919137
parameter_name,Aggression
gene_symbol,Ppm1j
