gene_symbol,Bmp7
parameter_id,IMPC_GEL_057_001
analysis_id,517fb3uc3p4lid0
parameter_name,Heart looping
gene_accession_id,MGI:103302
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9918431
