parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
pvalue,0.2182013
analysis_id,e946mzqz8t74ut8
mouse_strain,C57BL
parameter_id,IMPC_HEM_006_001
