gene_symbol,Mms22l
parameter_id,IMPC_HEM_027_001
mouse_strain,129SV
analysis_id,3s2tik73u72xk7g
pvalue,0.4450117
gene_accession_id,MGI:2684980
parameter_name,Red blood cell distribution width
mouse_life_stage,Early adult
