gene_symbol,Pdia3
gene_accession_id,MGI:95834
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_006_001
analysis_id,k7xyzj8j3v8t6c0
pvalue,0.2582468
mouse_strain,C57BL
