analysis_id,4xv18x1bkko36cf
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_MLN_093_001
pvalue,0.3900303
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
mouse_strain,C57BL
