parameter_id,JAX_LDT_002_001
gene_symbol,Lpgat1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Light side time spent
gene_accession_id,MGI:2446186
pvalue,0.7504479
analysis_id,inzrxbrv376mu3m
