analysis_id,5urs1q9cv9075sn
parameter_id,IMPC_CBC_013_001
gene_accession_id,MGI:109128
gene_symbol,Hnf4a
mouse_strain,C57BL
pvalue,0.9796978
parameter_name,Alanine aminotransferase
mouse_life_stage,Late adult
