analysis_id,mrj35737n9h1853
gene_symbol,Arpc5l
parameter_name,HRV
pvalue,0.6636531
parameter_id,IMPC_ECG_010_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
