analysis_id,mr66u84ujwai4ah
pvalue,0.4562699
gene_symbol,Snap23
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:109356
parameter_name,Shape of ribcage
mouse_strain,C57BL
