analysis_id,603fvir2vo8p7ww
parameter_id,MGP_MLN_064_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.2708818
