mouse_strain,C3H
analysis_id,8z53yr89qu5p53c
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_life_stage,Early adult
pvalue,0.7060098
parameter_id,IMPC_CSD_079_001
parameter_name,Aggression
