gene_symbol,Usp37
pvalue,0.6054959
mouse_strain,C57BL
analysis_id,91v7514zp7966e2
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
Parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
