analysis_id,c5592kg78kxul48
mouse_life_stage,Early adult
gene_symbol,Rab22a
gene_accession_id,MGI:105072
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
pvalue,0.7736789
