analysis_id,htev23961zrii05
gene_symbol,Tnfsf10
mouse_strain,C57BL
gene_accession_id,MGI:107414
parameter_name,B cell percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_014_001
pvalue,0.1893125
