analysis_id,sb7b0291p643301
parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
mouse_life_stage,Early adult
pvalue,0.1061686
gene_accession_id,MGI:107566
mouse_strain,C57BL
gene_symbol,Kifap3
