parameter_name,Sodium
pvalue,0.09970935
parameter_id,IMPC_CBC_001_001
gene_symbol,Bmi1
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,vm6hx7y7i9nft4a
gene_accession_id,MGI:88174
