parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Retina (combined)
gene_accession_id,MGI:1914561
analysis_id,c6fde34v45a9689
pvalue,0.176617
gene_symbol,Nanp
