gene_symbol,Bcs1l
mouse_strain,C57BL
analysis_id,1rl4p9xi171bz3p
parameter_name,Whole arena resting time
pvalue,0.1075913
parameter_id,JAX_OFD_007_001
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
