parameter_id,IMPC_GPO_002_001
pvalue,0.2336614
analysis_id,v31y0d6315u5il3
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_name,Placenta Morphology
gene_accession_id,MGI:88174
gene_symbol,Bmi1
