parameter_name,Retina (combined)
gene_accession_id,MGI:2444554
analysis_id,4k12i92d93t7m67
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_001
gene_symbol,Mapkap1
pvalue,0.3584419
