gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
parameter_name,Cleft palate
analysis_id,8kzr9e61ji35j47
mouse_strain,C57BL
pvalue,0.4265829
parameter_id,IMPC_GEP_076_001
