analysis_id,jfcvymj5kiqshwb
pvalue,0.0936413
gene_symbol,Tubb4b
mouse_strain,C57BL
gene_accession_id,MGI:1915472
parameter_name,Head coat/hair presence
parameter_id,MGP_CSD_015_001
mouse_life_stage,Early adult
