parameter_id,M-G-P_005_001_006
gene_symbol,Bcs1l
analysis_id,9p0w4m281m6s5uh
parameter_name,Body Length
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
mouse_strain,C57BL
pvalue,0.2850325
