gene_symbol,Lime1
gene_accession_id,MGI:1919949
mouse_strain,C57BL
analysis_id,51ptuwe7zb2x034
mouse_life_stage,Early adult
parameter_name,Cleft palate
pvalue,0.9193513
parameter_id,IMPC_GEP_076_001
