mouse_strain,C57BL
parameter_id,MGP_IMM_013_001
parameter_name,Total CD8+ T cells - % of ab T cells
analysis_id,4lzjv9w16k7ag9w
gene_accession_id,MGI:1341628
pvalue,0.1017812
gene_symbol,Atrn
mouse_life_stage,Early adult
