gene_symbol,Kif24
mouse_life_stage,Early adult
analysis_id,1967306445nuj9u
mouse_strain,C57BL
parameter_id,MGP_IMM_026_001
pvalue,0.3950669
gene_accession_id,MGI:1918345
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
