parameter_name,Eyelid morphology
mouse_strain,C57BL
gene_symbol,Zc2hc1a
parameter_id,IMPC_EYE_004_001
pvalue,0.2339273
mouse_life_stage,Early adult
analysis_id,d3h385hc1z8n811
gene_accession_id,MGI:1914556
