parameter_name,Body length
gene_symbol,Casq1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,yme9ksd7vjrs5gn
gene_accession_id,MGI:1309468
pvalue,0.8328198
parameter_id,IMPC_DXA_006_001
