parameter_name,Percent time in light
gene_accession_id,MGI:1916222
parameter_id,IMPC_LDT_008_001
gene_symbol,Tatdn3
pvalue,0.8024723
mouse_strain,C57BL
analysis_id,2b7495k73hl982e
mouse_life_stage,Early adult
