analysis_id,y29sw2f6vmx194i
parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
pvalue,0.6605264
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
