gene_symbol,Cdin1
pvalue,0.4282186
parameter_id,M-G-P_007_001_008
analysis_id,7z8rfn224lk08y5
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Periphery - Permanence Time
gene_accession_id,MGI:3026886
