parameter_name,Thoracic processes
gene_symbol,Zmynd8
analysis_id,qy7084srduywv4u
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
pvalue,0.4375328
parameter_id,IMPC_XRY_064_001
mouse_strain,129SV
