parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:1914556
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
parameter_name,Skull shape
analysis_id,6cs0j6844e4cvnh
pvalue,0.3324857
mouse_strain,C57BL
