parameter_name,cDCs CD11b Type
pvalue,0.1889258
mouse_life_stage,Middle aged adult
analysis_id,104v1j4b8rl20y0
gene_accession_id,MGI:1336200
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
gene_symbol,Hpca
