gene_symbol,Cisd2
mouse_strain,C57BL
analysis_id,327me05jk8222iv
pvalue,0.6155182
mouse_life_stage,Early adult
parameter_name,Percentage center time
gene_accession_id,MGI:1914256
parameter_id,IMPC_OFD_022_001
