analysis_id,yycs210wryw44lk
parameter_id,MGP_PBI_001_001
parameter_name,Total T cell percentage
mouse_life_stage,Early adult
gene_symbol,Cmpk1
mouse_strain,C54BL
gene_accession_id,MGI:1913838
pvalue,0.1945096
