pvalue,0.2402066
gene_accession_id,MGI:2181659
analysis_id,byt983p3l386p85
mouse_strain,C57BL
gene_symbol,Tox
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_076_001
parameter_name,Cleft palate
