parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
analysis_id,73h322s292ny853
mouse_strain,C57BL
gene_symbol,Mov10
pvalue,0.5637079
parameter_name,Monocytes
