analysis_id,j20665fj04xfg6q
parameter_id,MGP_CSD_030_001
mouse_life_stage,Early adult
parameter_name,Limb coat/hair presence
mouse_strain,C57BL
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
pvalue,0.4408169
